rating|description|obsolete
ADV|ADVANCED|No
AIR|LIGHTER-THAN-AIR AIRSHIP|No
AIRCR|AIRCRAFT|Yes
AIRFR|AIRFRAME|No
AIRPL|AIRPLANES|Yes
ALL|FEDERAL AVIATION ADMINISTRATION FLIGHT STANDARDS SERVICE INSPECTOR ALL|Yes
AME|AIRPLANE MULTIENGINE|No
AMEL|AIRPLANE MULTIENGINE LAND|No
AMELC|AIRPLANE MULTIENGINE LAND LIMITED TO CENTER THRUST|No
AMES|AIRPLANE MULTIENGINE SEA|No
ASE|AIRPLANE SINGLE ENGINE|No
ASEL|AIRPLANE SINGLE ENGINE LAND|No
ASES|AIRPLANE SINGLE ENGINE SEA|No
ASME|AIRPLANE SINGLE AND MULTIENGINE|No
BACK|BACK|No
BAL|LIGHTER-THAN-AIR FREE BALLOON|No
BASIC|BASIC|No
CHEST|CHEST|No
ENGINE|AIRCRAFT ENGINE|Yes
FAR|FEDERAL AIR REGULATIONS|Yes
GL|GLIDER|No
GLAT|GLIDER AERO TOW|No
GLATGT|GLIDER AERO TOW AND GROUND TOW|No
GLATSL|GLIDER AERO TOW AND SELF LAUNCH|No
GLGT|GLIDER GROUND TOW|No
GLGTSL|GLIDER GROUND TOW AND SELF LAUNCH|No
GLSL|GLIDER SELF LAUNCH|No
GROUP I|GROUP I|No
GROUP II|GROUP II|No
GYRO|ROTORCRAFT-GYROPLANE|No
HEL|ROTORCRAFT-HELICOPTER|No
HELGY|ROTORCRAFT HELICOPTER AND GYROPLANE|No
INSPT|INSPECTION|No
INST|INSTRUMENT|No
INSTA|INSTRUMENT AIRPLANE|No
INSTH|INSTRUMENT HELICOPTER|No
INSTI|INSTRUMENT AIRPLANE AND HELICOPTER|No
INSTP|INSTRUMENT POWERED-LIFT|No
JET|TURBOJET POWERED|No
LAP|LAP|No
LTA|LIGHTER-THAN-AIR|Yes
LTO|LINK TRAINER OPERATOR|Yes
MAINT|MAINTENANCE|No
METEOR|METEOROLOGY|Yes
NAV|NAVIGATION|Yes
PLIFT|POWERED-LIFT|No
POWER|POWERPLANT|No
RADIO|RADIO NAVIGATION|Yes
RECIP|RECIPROCATING ENGINE POWERED|No
ROTOR|ROTORCRAFT|Yes
SEAT|SEAT|No
SPORT|SPORT|No
SPUR|SPECIAL PURPOSE|Yes
TPROP|TURBOPROPELLER POWERED|No
